time,close,CVD (Apertura),CVD (Máximo,CVD (Mínimo),CVD (Cerrar),OnBalanceVolume,MFI,Signal,Histogram,MFI/Signal Crossover,MFI/Signal Crossunder,Plot,Plot,EMA of vfi,vfi
1772808410,670.4,-299027,-298642,-300519,-300390,-1995720,35.85124658696775,40.2909590144413,,,,0,,-4.6825073583212395,-5.900906886522791
1772808420,670.13,-300390,-300390,-317434,-317213,-2014379,26.52797814040963,37.538362839634964,,,,0,,-5.930797983649663,-8.427379234306512
1772808430,670.09,-317213,-312936,-319437,-319437,-2029637,25.86437102220833,35.20356447614964,,,,0,,-7.344560905781288,-10.172086750044537
1772808440,670.4,-319437,-293517,-319437,-293517,-1985805,49.58178935378883,38.07920945167748,,49.58178935378883,,0,,-7.415295662537589,-7.556765176050191
1772808450,670.5,-293517,-290898,-295447,-292055,-1970721,51.472665008373575,40.7579005630167,,,,0,,-6.765045091027306,-5.464543948006742
1772808460,670.55,-292055,-289110,-296311,-292304,-1956286,52.02521887360951,43.01136422513526,,,,0,,-6.317922522412071,-5.423677385181602
1772808470,670.54,-292304,-286254,-292304,-289436,-1972982,57.89216786995764,45.98752495409973,,,,0,,-5.3574019784733515,-3.4363608905959113
1772808480,670.37,-289436,-288276,-292144,-292144,-1979652,57.570676746624045,48.30415531260459,,,,0,,-4.95720206886451,-4.156802249646828
1772808490,670.53,-292144,-288161,-292144,-289092,-1972718,60.29310083333023,50.70194441674972,,,,0,,-4.6837018716482595,-4.136701477215759
1772808500,670.4,-289092,-288319,-289850,-289850,-1975866,58.14198107835857,52.18995174907149,,,,0,,-4.61341049931833,-4.472827754658471
1772808510,670.74,-289850,-288188,-293521,-291945,-1965401,59.05719175134591,53.563399749526376,,,,0,,-4.164815782981768,-3.2676263503086442
1772808520,670.82,-291945,-289221,-291945,-290403,-1958087,62.94548128531029,55.439816056683156,,,,0,,-3.580566077253752,-2.4120666657977194
1772808530,670.84,-290403,-277162,-290403,-277744,-1938748,68.83490589992145,58.11883402533081,,,,0,,-2.4593981661338478,-0.2170623438940394
1772808540,670.869,-277744,-272076,-279104,-272464,-1924298,75.8821222982698,61.67149167991861,,,,0,,-1.1731183621457029,1.3994412458305874
1772808550,670.59,-272464,-272464,-279176,-277588,-1935420,73.03708955149334,63.94461125423356,,,,0,,-0.7203232774428675,0.18526689196280338
1772808560,670.82,-277588,-274638,-277703,-274807,-1928049,81.16212789136769,67.38811458166039,,,,0,,-0.17492098711999116,0.9158835935257617
1772808570,671,-274807,-274807,-277661,-275535,-1920541,88.64219034871496,71.6389297350713,,,,0,,0.4559471990900448,1.7176835715101166
1772808580,670.71,-275535,-275535,-277851,-277851,-1925031,82.46683736207042,73.80451126047113,,,,0,,0.712061884276175,1.2242912546484355
1772808590,670.73,-277851,-274371,-277851,-275262,-1919422,77.10390225994396,74.4643894603657,,,,0,,0.672976256932301,0.5948050022445531
1772808600,671.08,-275262,-273214,-275702,-275382,-1912458,75.76971946353252,74.72545546099906,,,,0,,0.890768854627501,1.326354050017901
1772808610,670.54,-275382,-275382,-278902,-277387,-1920703,67.1670467402758,73.2137737168544,,,67.1670467402758,0,,0.7542582020348556,0.481236896849565
